   4.0000000e+00   2.0106193e+02   2.6808257e+02   7.5000000e-01
   4.1578947e+00   2.1724853e+02   3.0109884e+02   7.2151899e-01
   4.3157895e+00   2.3406171e+02   3.3672035e+02   6.9512195e-01
   4.4736842e+00   2.5150146e+02   3.7504604e+02   6.7058824e-01
   4.6315789e+00   2.6956780e+02   4.1617484e+02   6.4772727e-01
   4.7894737e+00   2.8826071e+02   4.6020569e+02   6.2637363e-01
   4.9473684e+00   3.0758020e+02   5.0723752e+02   6.0638298e-01
   5.1052632e+00   3.2752626e+02   5.5736926e+02   5.8762887e-01
   5.2631579e+00   3.4809891e+02   6.1069984e+02   5.7000000e-01
   5.4210526e+00   3.6929813e+02   6.6732820e+02   5.5339806e-01
   5.5789474e+00   3.9112393e+02   7.2735328e+02   5.3773585e-01
   5.7368421e+00   4.1357631e+02   7.9087400e+02   5.2293578e-01
   5.8947368e+00   4.3665527e+02   8.5798931e+02   5.0892857e-01
   6.0526316e+00   4.6036081e+02   9.2879812e+02   4.9565217e-01
   6.2105263e+00   4.8469292e+02   1.0033994e+03   4.8305085e-01
   6.3684211e+00   5.0965161e+02   1.0818920e+03   4.7107438e-01
   6.5263158e+00   5.3523688e+02   1.1643750e+03   4.5967742e-01
   6.6842105e+00   5.6144873e+02   1.2509472e+03   4.4881890e-01
   6.8421053e+00   5.8828716e+02   1.3417075e+03   4.3846154e-01
   7.0000000e+00   6.1575216e+02   1.4367550e+03   4.2857143e-01
